task_id,task_name_EN,end-effector,total_action-slices,duration(s),scenarios,example of action_text
327,Pickup items in the supermarket,grippers,1254,30s~48s,Supermarket,"['Retrieve cucumber from the shelf.(Pick)', 'Place the held cucumber into the plastic bag in the shopping cart.(Place)', 'Retrieve tomato from the shelf.(Pick)', 'Place the held tomato into the plastic bag in the shopping cart.(Place)', 'Retrieve corn from the shelf.(Pick)', 'Place the held corn into the shopping carts plastic bag.(Place)']"
352,Open the fridge to get food,grippers,5548,34s~59s,Home,"['Open the refrigerator door with the left arm.(PullApart)', 'Pick up the boxed iced tea from the fridge with the left arm.(Pick)', 'Place the boxed iced tea held in the left arm on the table.(Place)', 'Push the refrigerator door with the right arm.(Push)']"
354,Pickup items in the supermarket,grippers,1032,7s~25s,Supermarket,"['Retrieve from the shelf.(Pick)', 'Place the held red battery into the shopping cart.(Place)']"
356,Packing in the supermarket,grippers,2375,20s~35s,Supermarket,"['Grasp the left arm with white plastic bag.(Grasp)', 'Grab the blue cleansing milk on the table with the right arm.(Pick)', 'Place the held blue cleansing milk into white plastic bag.(Place)', 'Grab the hawthorn tea on the table with the right arm.(Pick)', 'Place the held hawthorn tea into white plastic bag.(Place)']"
357,Wash dishes with dishwasher,grippers,6848,81s~149s,Home,"['Lift the dishwasher lid with both arms.(Pull)', 'Grasp the chopsticks with the right arm.(Pick)', 'Pass the chopsticks with both hands.(HandOver)', 'Place the chopsticks held in the left arm into the dishwasher.(Place)', 'Grasp the spoon with the right arm.(Pick)', 'Pass the spoon with both hands.(HandOver)', 'Place the spoon in the dishwasher with the left arm.(Place)', 'Lift the bowl with the right arm.(Pick)', 'Pass the bowl with both hands.(HandOver)', 'Place the bowl in the dishwasher with the left arm.(Place)', 'Lift the plate with the right arm.(Pick)', 'Pass the plate with both hands.(HandOver)', 'Place the plate in the dishwasher with the left arm.(Place)', 'Pull down the dishwasher lid with both arms.(Pull)', 'Press the dishwasher lid with the left arm.(Press)', 'Press the button with the left arm to start the dishwasher.(Tap)']"
358,Toast bread,grippers,2350,32s~62s,Home,"['Lift a piece of whole wheat toast from the basket with the left arm.(Pick)', 'Insert the whole wheat toast held by the left arm into the empty slot behind white toaster.(Place)', 'Lift a piece of whole wheat toast from the basket with the left arm.(Pick)', 'Place the whole wheat toast held in the left arm into the empty slot in front of white toaster.(Place)', 'Press the white toaster start button with both arms.(PressButton)']"
359,Sort in the warehouse,grippers,3220,40s~50s,Industry,"['Retrieve trash bag from left material frame with the left arm.(Pick)', 'Pass the trash bag with both hands.(HandOver)', 'Place the held trash bag into the right blue target box.(Place)', 'Retrieve toothpick with the right arm from right material frame.(Pick)', 'Place the toothpick held in the right arm into the right blue target box.(Place)']"
360,Packing in the supermarket,grippers,3619,28s~49s,Supermarket,"['Grasp the left arm with green felt bag.(Grasp)', 'Grab the tomato sauce on the table with the right arm.(Pick)', 'Place the grasped tomato sauce into green felt bag with the right arm.(Place)', 'Grab the steel wool on the table with the right arm.(Pick)', 'Place the grasped steel wool into green felt bag with the right arm.(Place)', 'Grasp the wash and care set on the table with the right arm.(Pick)', 'Place the grasped wash and care set into green felt bag with the right arm.(Place)']"
361,Flatten shorts,grippers,2554,40s~80s,Home,['Smooth out a messy brown shorts with both arms and spread it flat.(Unfold)']
362,Fold shorts,grippers,16466,37s~69s,Home,"['Grasp the lower pant leg and waistband of light blue denim shorts and fold them over the upper pant leg and waistband.(Fold)', 'Grasp the waistband of light blue denim shorts with both hands and fold it down to the legs.(Fold)']"
